【用户关注】,1664257533046,2022-09-27 13:45:33,jd_180340ael
【用户正在购买】,1664257562371,2022-09-27 13:46:02,玲妞疯狂买买买吧,37号
【用户正在购买】,1664257572030,2022-09-27 13:46:12,jd_185308hrq,91号
【用户正在购买】,1664257583355,2022-09-27 13:46:23,枝头知了39,137号
【实时弹幕】,1664257592352,2022-09-27 13:46:32,爱我家6928916,领券享专属优惠
【实时弹幕】,1664257608814,2022-09-27 13:46:48,jd_OsVinFCsqOxy,领券享专属优惠
【实时弹幕】,1664257638584,2022-09-27 13:47:18,tczzwjx,领券享专属优惠
【主播结束讲解】,1664257640703,2022-09-27 13:47:20,主播,76
【主播推送商品】,1664257648849,2022-09-27 13:47:28,主播,73号
【主播推送商品】,1664257649019,2022-09-27 13:47:29,主播,73号
【用户正在购买】,1664257649966,2022-09-27 13:47:29,jd_pajIGBxiZNgh,73号
【主播正在讲解】,1664257655562,2022-09-27 13:47:35,主播,73号
【主播弹幕】,1664257655573,2022-09-27 13:47:35,主播,正在讲解73号宝贝
【主播开始讲解】,1664257655606,2022-09-27 13:47:35,主播,73
【用户正在购买】,1664257727700,2022-09-27 13:48:47,15536086767_p,143号
【实时弹幕】,1664257733573,2022-09-27 13:48:53,玲妞疯狂买买买吧,券在哪里领
【主播结束讲解】,1664257741103,2022-09-27 13:49:01,主播,73
【主播推送商品】,1664257764501,2022-09-27 13:49:24,主播,72号
【主播推送商品】,1664257764663,2022-09-27 13:49:24,主播,72号
【用户正在购买】,1664257765755,2022-09-27 13:49:25,jd_pajIGBxiZNgh,72号
【用户正在购买】,1664257776481,2022-09-27 13:49:36,15536086767_p,143号
【主播正在讲解】,1664257777808,2022-09-27 13:49:37,主播,72号
【主播弹幕】,1664257777818,2022-09-27 13:49:37,主播,正在讲解72号宝贝
【主播开始讲解】,1664257777864,2022-09-27 13:49:37,主播,72
【用户关注】,1664257781667,2022-09-27 13:49:41,玲妞疯狂买买买吧
【用户正在购买】,1664257785051,2022-09-27 13:49:45,u_pw7geezr4ii3,72号
【用户正在购买】,1664257787614,2022-09-27 13:49:47,幸运的星球杯,145号
【实时弹幕】,1664257793719,2022-09-27 13:49:53,15536086767_p,领券享专属优惠
【用户关注】,1664257793782,2022-09-27 13:49:53,15536086767_p
【用户加入购物车】,1664257803052,2022-09-27 13:50:03,u_pw7geezr4ii3,137号
【实时弹幕】,1664257805805,2022-09-27 13:50:05,玲妞疯狂买买买吧,领券享专属优惠
【用户正在购买】,1664257807111,2022-09-27 13:50:07,u_pw7geezr4ii3,137号
【用户正在购买】,1664257816191,2022-09-27 13:50:16,玲妞疯狂买买买吧,37号
【用户正在购买】,1664257818323,2022-09-27 13:50:18,eTYLEoMqqkrc,64号
【用户正在购买】,1664257824532,2022-09-27 13:50:24,u_pw7geezr4ii3,125号
【实时弹幕】,1664257832100,2022-09-27 13:50:32,jd_151652opp,领券享专属优惠
【主播结束讲解】,1664257842449,2022-09-27 13:50:42,主播,72
【用户正在购买】,1664257844735,2022-09-27 13:50:44,幸运的星球杯,15号
【用户分享直播间】,1664257844894,2022-09-27 13:50:44,知名滴伤
【主播推送商品】,1664257848094,2022-09-27 13:50:48,主播,75号
【主播推送商品】,1664257848261,2022-09-27 13:50:48,主播,75号
【用户正在购买】,1664257849504,2022-09-27 13:50:49,千殇破,134号
【用户正在购买】,1664257850183,2022-09-27 13:50:50,jd_pajIGBxiZNgh,75号
【用户正在购买】,1664257850352,2022-09-27 13:50:50,jd_ZhrGnSqJkuzs,29号
【主播正在讲解】,1664257862802,2022-09-27 13:51:02,主播,75号
【主播弹幕】,1664257862813,2022-09-27 13:51:02,主播,正在讲解75号宝贝
【主播开始讲解】,1664257862903,2022-09-27 13:51:02,主播,75
【用户加入购物车】,1664257874114,2022-09-27 13:51:14,15536086767_p,143号
【用户正在购买】,1664257879625,2022-09-27 13:51:19,15536086767_p,75号
【用户正在购买】,1664257886721,2022-09-27 13:51:26,15536086767_p,75号
【实时弹幕】,1664257888650,2022-09-27 13:51:28,tang122112,领券享专属优惠
【用户关注】,1664257888740,2022-09-27 13:51:28,tang122112
【实时弹幕】,1664257892481,2022-09-27 13:51:32,Ivytong,领券享专属优惠
【用户正在购买】,1664257899238,2022-09-27 13:51:39,jd_ZhrGnSqJkuzs,25号
【用户正在购买】,1664257905315,2022-09-27 13:51:45,15536086767_p,143号
【用户正在购买】,1664257911230,2022-09-27 13:51:51,jd_ZhrGnSqJkuzs,31号
【用户正在购买】,1664257915950,2022-09-27 13:51:55,jd_151652opp,132号
【用户正在购买】,1664257943630,2022-09-27 13:52:23,vliuyuemoon,148号
【用户正在购买】,1664257957483,2022-09-27 13:52:37,eTYLEoMqqkrc,64号
【用户正在购买】,1664257961039,2022-09-27 13:52:41,jd372429kpc,130号
【用户正在购买】,1664257973386,2022-09-27 13:52:53,jd_135834igs,75号
【实时弹幕】,1664257994986,2022-09-27 13:53:14,eTYLEoMqqkrc,主播64号可以介绍下吗，有没有地垫呢
【用户正在购买】,1664257996754,2022-09-27 13:53:16,jd_xBdYHGaoJAGw,143号
【用户正在购买】,1664257998957,2022-09-27 13:53:18,孙伟梅,09号
【主播结束讲解】,1664258001331,2022-09-27 13:53:21,主播,75
【主播推送商品】,1664258009282,2022-09-27 13:53:29,主播,64号
【主播推送商品】,1664258009464,2022-09-27 13:53:29,主播,64号
【用户正在购买】,1664258010337,2022-09-27 13:53:30,jd_pajIGBxiZNgh,64号
【实时弹幕】,1664258029135,2022-09-27 13:53:49,eTYLEoMqqkrc,优惠券怎么领
【用户正在购买】,1664258030734,2022-09-27 13:53:50,cloure566,115号
【实时弹幕】,1664258050127,2022-09-27 13:54:10,eTYLEoMqqkrc,领券享专属优惠
【用户关注】,1664258050284,2022-09-27 13:54:10,eTYLEoMqqkrc
【实时弹幕】,1664258051404,2022-09-27 13:54:11,拍拍点东西,领券享专属优惠
【实时弹幕】,1664258058091,2022-09-27 13:54:18,eTYLEoMqqkrc,谢谢
【主播推送商品】,1664258065816,2022-09-27 13:54:25,主播,70号
【主播推送商品】,1664258066050,2022-09-27 13:54:26,主播,70号
【用户正在购买】,1664258066925,2022-09-27 13:54:26,jd_pajIGBxiZNgh,70号
【用户正在购买】,1664258071566,2022-09-27 13:54:31,jd_pajIGBxiZNgh,70号
【实时弹幕】,1664258075025,2022-09-27 13:54:35,u_4smxttu1pn37,领券享专属优惠
【主播正在讲解】,1664258081893,2022-09-27 13:54:41,主播,70号
【主播弹幕】,1664258081902,2022-09-27 13:54:41,主播,正在讲解70号宝贝
【主播开始讲解】,1664258081924,2022-09-27 13:54:41,主播,70
【用户正在购买】,1664258088608,2022-09-27 13:54:48,孙伟梅,70号
【用户正在购买】,1664258102878,2022-09-27 13:55:02,布衣微尘,85号
【用户正在购买】,1664258114717,2022-09-27 13:55:14,jd_LaylisgDLyOc,70号
【实时弹幕】,1664258132483,2022-09-27 13:55:32,xhwendy,领券享专属优惠
【主播结束讲解】,1664258165653,2022-09-27 13:56:05,主播,70
【主播推送商品】,1664258190139,2022-09-27 13:56:30,主播,69号
【主播推送商品】,1664258190171,2022-09-27 13:56:30,主播,69号
【用户正在购买】,1664258191380,2022-09-27 13:56:31,jd_pajIGBxiZNgh,69号
【用户正在购买】,1664258192356,2022-09-27 13:56:32,机器猫2577,69号
