【用户正在购买】,1664346877342,2022-09-28 14:34:37,艾瑞巴蒂哆,129号
【用户正在购买】,1664346917461,2022-09-28 14:35:17,jd_173190prk,74号
【主播结束讲解】,1664346922198,2022-09-28 14:35:22,主播,74
【主播推送商品】,1664346927589,2022-09-28 14:35:27,主播,69号
【主播推送商品】,1664346927778,2022-09-28 14:35:27,主播,69号
【用户正在购买】,1664346928909,2022-09-28 14:35:28,jd_pajIGBxiZNgh,69号
【主播正在讲解】,1664346940314,2022-09-28 14:35:40,主播,69号
【主播弹幕】,1664346940327,2022-09-28 14:35:40,主播,正在讲解69号宝贝
【主播开始讲解】,1664346940383,2022-09-28 14:35:40,主播,69
【实时弹幕】,1664346953085,2022-09-28 14:35:53,jd_mTnrFIIINvtJ,领券享专属优惠
【用户正在购买】,1664346972873,2022-09-28 14:36:12,jd_173190prk,141号
【用户正在购买】,1664346981167,2022-09-28 14:36:21,jd_135040zvp,69号
【用户正在购买】,1664347007519,2022-09-28 14:36:47,u_wobxj8vz8yef,69号
【用户正在购买】,1664347021040,2022-09-28 14:37:01,jd_173190prk,120号
【用户正在购买】,1664347042358,2022-09-28 14:37:22,jd_134250117,85号
【实时弹幕】,1664347043898,2022-09-28 14:37:23,jd_6f110bcbde8b4,领券享专属优惠
【用户关注】,1664347043949,2022-09-28 14:37:23,jd_6f110bcbde8b4
【主播结束讲解】,1664347044524,2022-09-28 14:37:24,主播,69
【主播推送商品】,1664347050117,2022-09-28 14:37:30,主播,68号
【主播推送商品】,1664347050321,2022-09-28 14:37:30,主播,68号
【用户正在购买】,1664347051773,2022-09-28 14:37:31,jd_pajIGBxiZNgh,68号
【主播正在讲解】,1664347066314,2022-09-28 14:37:46,主播,68号
【主播弹幕】,1664347066330,2022-09-28 14:37:46,主播,正在讲解68号宝贝
【主播开始讲解】,1664347066437,2022-09-28 14:37:46,主播,68
【用户正在购买】,1664347079265,2022-09-28 14:37:59,jd_6f110bcbde8b4,85号
【实时弹幕】,1664347079491,2022-09-28 14:37:59,沙鱼01,领券享专属优惠
【用户正在购买】,1664347121183,2022-09-28 14:38:41,jd_6f110bcbde8b4,85号
【实时弹幕】,1664347132705,2022-09-28 14:38:52,jd_182231bqd,领券享专属优惠
【用户关注】,1664347132780,2022-09-28 14:38:52,jd_182231bqd
【用户正在购买】,1664347144171,2022-09-28 14:39:04,JPvmLRlPXfwb,68号
【主播结束讲解】,1664347147110,2022-09-28 14:39:07,主播,68
【实时弹幕】,1664347169338,2022-09-28 14:39:29,桃子爱逗,领券享专属优惠
【主播推送商品】,1664347170261,2022-09-28 14:39:30,主播,67号
【主播推送商品】,1664347170625,2022-09-28 14:39:30,主播,67号
【用户正在购买】,1664347171521,2022-09-28 14:39:31,jd_pajIGBxiZNgh,67号
【用户正在购买】,1664347179359,2022-09-28 14:39:39,冬季飞鱼,146号
【用户正在购买】,1664347181747,2022-09-28 14:39:41,jd_IM_X605,38号
【用户正在购买】,1664347189838,2022-09-28 14:39:49,冬季飞鱼,146号
【主播正在讲解】,1664347192279,2022-09-28 14:39:52,主播,67号
【主播弹幕】,1664347192295,2022-09-28 14:39:52,主播,正在讲解67号宝贝
【主播开始讲解】,1664347192431,2022-09-28 14:39:52,主播,67
【实时弹幕】,1664347248084,2022-09-28 14:40:48,jd_7c3dfed6f7e75,领券享专属优惠
【用户关注】,1664347248168,2022-09-28 14:40:48,jd_7c3dfed6f7e75
【用户正在购买】,1664347249609,2022-09-28 14:40:49,冬季飞鱼,146号
【用户正在购买】,1664347255895,2022-09-28 14:40:55,冬季飞鱼,146号
【实时弹幕】,1664347266926,2022-09-28 14:41:06,魔幻蓝天123,领券享专属优惠
【用户正在购买】,1664347272498,2022-09-28 14:41:12,jd_136080pwn,143号
【实时弹幕】,1664347278862,2022-09-28 14:41:18,老树根小树叶,领券享专属优惠
【用户正在购买】,1664347286763,2022-09-28 14:41:26,jd_136080pwn,112号
【实时弹幕】,1664347294244,2022-09-28 14:41:34,weisina521,领券享专属优惠
【用户关注】,1664347294322,2022-09-28 14:41:34,weisina521
【用户正在购买】,1664347301505,2022-09-28 14:41:41,weisina521,67号
【主播结束讲解】,1664347306878,2022-09-28 14:41:46,主播,67
【主播推送商品】,1664347325784,2022-09-28 14:42:05,主播,66号
【主播推送商品】,1664347325957,2022-09-28 14:42:05,主播,66号
【用户正在购买】,1664347327063,2022-09-28 14:42:07,jd_pajIGBxiZNgh,66号
【用户正在购买】,1664347336392,2022-09-28 14:42:16,是布丁呀,141号
【主播正在讲解】,1664347341774,2022-09-28 14:42:21,主播,66号
【主播弹幕】,1664347341789,2022-09-28 14:42:21,主播,正在讲解66号宝贝
【主播开始讲解】,1664347341808,2022-09-28 14:42:21,主播,66
【用户加入购物车】,1664347350924,2022-09-28 14:42:30,冬季飞鱼,146号
【实时弹幕】,1664347371789,2022-09-28 14:42:51,fu1998,领券享专属优惠
【用户正在购买】,1664347391986,2022-09-28 14:43:11,jd_5592494e59cbb,113号
【用户正在购买】,1664347400489,2022-09-28 14:43:20,呼啦小新,85号
【用户分享直播间】,1664347416247,2022-09-28 14:43:36,jd_RSCrBdrtAYEX
【主播结束讲解】,1664347457865,2022-09-28 14:44:17,主播,66
【主播推送商品】,1664347464621,2022-09-28 14:44:24,主播,65号
