【用户分享直播间】,1657866494260,2022-07-15 14:28:14,门小帅他哥
【主播推送商品】,1657866554451,2022-07-15 14:29:14,主播,105号
【主播正在讲解】,1657866560895,2022-07-15 14:29:20,主播,105号
【主播弹幕】,1657866560912,2022-07-15 14:29:20,主播,正在讲解105号宝贝
【主播开始讲解】,1657866565343,2022-07-15 14:29:25,主播,105
【用户正在购买】,1657866570419,2022-07-15 14:29:30,jd_rNSFYBtXfBxO,129号
【用户正在购买】,1657866574627,2022-07-15 14:29:34,jd_rNSFYBtXfBxO,129号
【主播结束讲解】,1657866629005,2022-07-15 14:30:29,主播,105
【用户分享直播间】,1657866684875,2022-07-15 14:31:24,张春华53030
【用户正在购买】,1657866975550,2022-07-15 14:36:15,Yarean,130号
【用户正在购买】,1657866995069,2022-07-15 14:36:35,ruoshuixiaoli,89号
【实时弹幕】,1657867023027,2022-07-15 14:37:03,Yarean,肉和果干比较多的礼包推荐哪一个
【用户正在购买】,1657867058023,2022-07-15 14:37:38,马瑞57,124号
【用户正在购买】,1657867058259,2022-07-15 14:37:38,Yarean,130号
【用户加入购物车】,1657867219111,2022-07-15 14:40:19,Wh吖-,123号
【用户正在购买】,1657867260681,2022-07-15 14:41:00,jdDJHXY,130号
【用户分享直播间】,1657867385092,2022-07-15 14:43:05,lululu137
【用户正在购买】,1657867955431,2022-07-15 14:52:35,后启丶,119号
【用户领券】,1657868057262,2022-07-15 14:54:17,青春终究散场,领取了满300减200元券
【用户领券】,1657868058215,2022-07-15 14:54:18,青春终究散场,领取了满199减130元券
【用户加入购物车】,1657868146565,2022-07-15 14:55:46,u_uejzeiezwfxa,126号
【用户加入购物车】,1657868152315,2022-07-15 14:55:52,u_uejzeiezwfxa,127号
【用户正在购买】,1657868161222,2022-07-15 14:56:01,jd_TmYZkZAyCsLc,129号
【用户加入购物车】,1657868181663,2022-07-15 14:56:21,u_uejzeiezwfxa,104号
【用户正在购买】,1657868189185,2022-07-15 14:56:29,u_uejzeiezwfxa,96号
【用户正在购买】,1657868193412,2022-07-15 14:56:33,无悔吾爱0916,120号
【用户加入购物车】,1657868294576,2022-07-15 14:58:14,ANO9999,115号
【用户正在购买】,1657868295606,2022-07-15 14:58:15,ANO9999,115号
【实时弹幕】,1657868410526,2022-07-15 15:00:10,智窗高,待会儿是我伟不 😊
