【用户正在购买】,1658114260806,2022-07-18 11:17:40,jd_45a97f83603dc,87号
【用户关注】,1658114330416,2022-07-18 11:18:50,平缪斯
【用户领券】,1658114332209,2022-07-18 11:18:52,平缪斯,领取了满129元打9折券
【用户正在购买】,1658114338033,2022-07-18 11:18:58,莉莉宝贝8873,148号
【用户正在购买】,1658114341683,2022-07-18 11:19:01,莉莉宝贝8873,148号
【用户正在购买】,1658114363890,2022-07-18 11:19:23,平缪斯,147号
【用户正在购买】,1658114371838,2022-07-18 11:19:31,莉莉宝贝8873,148号
【主播推送商品】,1658114374765,2022-07-18 11:19:34,主播,137号
【主播推送商品】,1658114374985,2022-07-18 11:19:34,主播,137号
【主播推送商品】,1658114375536,2022-07-18 11:19:35,主播,137号
【用户正在购买】,1658114376663,2022-07-18 11:19:36,u_lsmilynhplwo,148号
【用户正在购买】,1658114385813,2022-07-18 11:19:45,平缪斯,143号
【主播推送商品】,1658114418525,2022-07-18 11:20:18,主播,137号
【主播推送商品】,1658114418696,2022-07-18 11:20:18,主播,137号
【主播推送商品】,1658114418989,2022-07-18 11:20:18,主播,137号
【用户加入购物车】,1658114425484,2022-07-18 11:20:25,婇珎姐-,144号
【用户进入店铺】,1658114425830,2022-07-18 11:20:25,莉莉宝贝8873,1000006804
【用户正在购买】,1658114432054,2022-07-18 11:20:32,平缪斯,117号
【主播推送商品】,1658114511924,2022-07-18 11:21:51,主播,137号
【主播推送商品】,1658114512163,2022-07-18 11:21:52,主播,137号
【主播推送商品】,1658114512225,2022-07-18 11:21:52,主播,137号
【用户正在购买】,1658114518332,2022-07-18 11:21:58,jd_156275yzq,143号
【用户正在购买】,1658114519076,2022-07-18 11:21:59,樱桃小丸子丸子呀,137号
【用户正在购买】,1658114532961,2022-07-18 11:22:12,jd_156275yzq,143号
【用户加入购物车】,1658114542999,2022-07-18 11:22:22,莉莉宝贝8873,148号
【用户正在购买】,1658114547072,2022-07-18 11:22:27,莉莉宝贝8873,150号
【主播推送商品】,1658114558719,2022-07-18 11:22:38,主播,137号
【主播推送商品】,1658114558882,2022-07-18 11:22:38,主播,137号
【主播推送商品】,1658114559379,2022-07-18 11:22:39,主播,137号
【主播推送商品】,1658114568473,2022-07-18 11:22:48,主播,137号
【主播推送商品】,1658114568590,2022-07-18 11:22:48,主播,137号
【主播推送商品】,1658114568794,2022-07-18 11:22:48,主播,137号
【主播推送商品】,1658114569056,2022-07-18 11:22:49,主播,137号
【主播推送商品】,1658114569720,2022-07-18 11:22:49,主播,137号
【主播推送商品】,1658114570001,2022-07-18 11:22:50,主播,137号
【用户领券】,1658114600141,2022-07-18 11:23:20,jd_沁心,领取了满199减130元券
【主播推送商品】,1658114620795,2022-07-18 11:23:40,主播,131号
【主播推送商品】,1658114621108,2022-07-18 11:23:41,主播,131号
【主播推送商品】,1658114622731,2022-07-18 11:23:42,主播,131号
【主播推送商品】,1658114622996,2022-07-18 11:23:42,主播,131号
【主播推送商品】,1658114623230,2022-07-18 11:23:43,主播,131号
【主播推送商品】,1658114623648,2022-07-18 11:23:43,主播,131号
【主播推送商品】,1658114624403,2022-07-18 11:23:44,主播,131号
【用户正在购买】,1658114625442,2022-07-18 11:23:45,莉莉宝贝8873,146号
【主播推送商品】,1658114625491,2022-07-18 11:23:45,主播,131号
【主播推送商品】,1658114626266,2022-07-18 11:23:46,主播,131号
【用户正在购买】,1658114627592,2022-07-18 11:23:47,u_v5aved82mrpj,131号
【用户正在购买】,1658114628991,2022-07-18 11:23:48,jd_178092isa,139号
【用户正在购买】,1658114644271,2022-07-18 11:24:04,等一会洗澡阿,123号
【用户正在购买】,1658114648758,2022-07-18 11:24:08,jd_178092isa,138号
【用户正在购买】,1658114670621,2022-07-18 11:24:30,jd_178092isa,129号
【用户正在购买】,1658114677429,2022-07-18 11:24:37,jd_178092isa,130号
【用户正在购买】,1658114688871,2022-07-18 11:24:48,jd_178092isa,124号
【用户正在购买】,1658114697538,2022-07-18 11:24:57,莉莉宝贝8873,135号
【用户正在购买】,1658114700672,2022-07-18 11:25:00,jd_178092isa,118号
【用户正在购买】,1658114706437,2022-07-18 11:25:06,jd_178092isa,119号
【用户正在购买】,1658114741760,2022-07-18 11:25:41,jd_7008fdacc54ed,116号
【用户正在购买】,1658114742385,2022-07-18 11:25:42,莉莉宝贝8873,90号
【用户加入购物车】,1658114765238,2022-07-18 11:26:05,jd_7008fdacc54ed,117号
【用户领券】,1658114767515,2022-07-18 11:26:07,小花妹妹Aries,领取了满300减200元券
【用户加入购物车】,1658114769327,2022-07-18 11:26:09,jd_7008fdacc54ed,116号
【用户正在购买】,1658114781200,2022-07-18 11:26:21,jd_178092isa,119号
【用户领券】,1658114790842,2022-07-18 11:26:30,jd_183671qdp,领取了满129元打9折券
【用户领券】,1658114795418,2022-07-18 11:26:35,jd_178092isa,领取了满300减200元券
